timestamp,frame_id,msg_name,data_hex
1789543695.3693755,1624,SocTXStatus2,ff7f10070000131e
1789543695.3719838,1625,SocTXStatus3,2f002e2c2e360000
1789543695.3798404,1626,McuLSDStatus,0000000000010100
1789543695.3798404,1627,Mcu_USV_Status,340000006e040000
1789543695.3798404,1628,McuHSDStatus,8800000000000000
1789543695.3798404,1629,McuCanStatus,0f82828282000000
1789543695.4505827,1281,,0000ffffffffffff
1789543695.4605014,1616,MCUVoltageData1,0000000112380001
1789543695.4605014,1617,MCUVoltageData2,0b540000031a0119
1789543695.4605014,1618,MCUVoltageData3,1758105d04600c0a
1789543695.4605014,1619,MCUVoltageData4,031d1752031c0319
1789543695.4605014,1620,MCUVoltageData5,105b0460014e0461
1789543695.4605014,1621,MCUTempData,96009600d0ff0f00
1789543695.4605014,1631,HSD_PORT_Status,0300030000000000
1789543695.4708967,1622,SocTXStatus,ffffffff011e1e1e
1789543695.4708967,1623,SocTXStatus1,1e1e1e321e1e1e1e
1789543695.4708967,1624,SocTXStatus2,ff7f10070000131f
1789543695.4708967,1625,SocTXStatus3,2f002e2d2f360000
1789543695.4811273,1626,McuLSDStatus,0000000000010100
1789543695.4811273,1627,Mcu_USV_Status,340000006e050000
1789543695.4811273,1628,McuHSDStatus,8800000000000000
1789543695.4811273,1629,McuCanStatus,0f8c8c8c8c000000
1789543695.5519757,1281,,0000ffffffffffff
1789543695.5596747,1616,MCUVoltageData1,0000000112380001
1789543695.5596747,1617,MCUVoltageData2,0b540000031a0119
1789543695.5596747,1618,MCUVoltageData3,1758105d04600c09
1789543695.5596747,1619,MCUVoltageData4,031d1752031d0319
1789543695.5596747,1620,MCUVoltageData5,105b0460014e0461
1789543695.5623279,1621,MCUTempData,96009600d0ff0f00
1789543695.5623279,1631,HSD_PORT_Status,0300030000000000
1789543695.5694747,1622,SocTXStatus,ffffffff011e1e1e
1789543695.5694747,1623,SocTXStatus1,1e1e1e321e1e1e1e
1789543695.5694747,1624,SocTXStatus2,ff7f100700001320
1789543695.5694747,1625,SocTXStatus3,2f002e2d2f300000
1789543695.5791628,1626,McuLSDStatus,0000000000010100
1789543695.5791628,1627,Mcu_USV_Status,340000006e060000
1789543695.5816839,1628,McuHSDStatus,8800000000000000
1789543695.5816839,1629,McuCanStatus,0f96969696000000
1789543695.6510358,1281,,0000ffffffffffff
1789543695.661245,1616,MCUVoltageData1,0000000112380001
1789543695.661245,1617,MCUVoltageData2,0b540000031a0119
1789543695.661245,1618,MCUVoltageData3,1758105d04600c0a
1789543695.661245,1619,MCUVoltageData4,031d1752031c0319
1789543695.661245,1620,MCUVoltageData5,105b0460014e0461
1789543695.661245,1621,MCUTempData,96009600d0ff0f00
1789543695.661245,1630,McuCpuLoad,1100000004000000
1789543695.661245,1631,HSD_PORT_Status,0300030000000000
1789543695.6689897,1622,SocTXStatus,ffffffff011e1e1e
1789543695.6689897,1623,SocTXStatus1,1e1e1e321e1e1e1e
1789543695.6715114,1624,SocTXStatus2,ff7f100700001321
1789543695.6715114,1625,SocTXStatus3,2f002e2c2f310000
1789543695.6792374,1626,McuLSDStatus,0000000000010100
1789543695.6792374,1627,Mcu_USV_Status,340000006e070000
1789543695.6792374,1628,McuHSDStatus,8800000000000000
1789543695.681891,1629,McuCanStatus,0fa0a0a0a0000000
1789543695.751665,1281,,0000ffffffffffff
1789543695.761392,1616,MCUVoltageData1,0000000112380001
1789543695.761392,1617,MCUVoltageData2,0b540000031a0119
1789543695.761392,1618,MCUVoltageData3,1758105d04600c09
1789543695.761392,1619,MCUVoltageData4,031d1752031c0319
1789543695.761392,1620,MCUVoltageData5,105b0460014e0461
1789543695.761392,1621,MCUTempData,96009600d0ff0f00
1789543695.761392,1631,HSD_PORT_Status,0300030000000000
1789543695.7710693,1622,SocTXStatus,ffffffff011e1e1e
1789543695.7710693,1623,SocTXStatus1,1e1e1e321e1e1e1e
1789543695.7710693,1624,SocTXStatus2,ff7f100700001322
1789543695.7710693,1625,SocTXStatus3,2f002e2d2f300000
1789543695.778718,1626,McuLSDStatus,0000000000010100
1789543695.781334,1627,Mcu_USV_Status,340000006e080000
1789543695.781334,1628,McuHSDStatus,8800000000000000
1789543695.781334,1629,McuCanStatus,0faaaaaaaa000000
